"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4",""
"D1","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J1","pico R","~","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"J2","pico L","~","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"J3","Sensor T/H","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J4","Memory Option","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J5","Display OLED","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J6","Screw_Terminal_01x06","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal","1",""
"SW1","SW_SPST","~","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1",""
"SW2","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H8mm","1",""
